    Origin        14
Class 1's a bounds are:70.8246------>100
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2       100       100         0
         3       100       100         0
         4       100       100         0
         5       100       100         0
         6       100       100         0
         7       100       100         0
         8       100       100         0
         9   70.8246       100  0.299033
        10   70.8246       100   1.04661
        11       100       100         0
        12       100       100         0
        13       100       100         0
        14       100       100         0
        15   70.8246       100  0.647904
        16       100       100         0
        17       100       100         0
        18       100       100         0
        19       100       100         0
        20       100       100         0
        21       100       100         0
        22       100       100         0
        23       100       100         0
        24       100       100         0
Class 2's a bounds are:57.9914------>70.8246
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2       100       100         0
         3       100       100         0
         4       100       100         0
         5       100       100         0
         6       100       100         0
         7       100       100         0
         8       100       100         0
         9   70.8246   70.8246         0
        10   70.8246   70.8246         0
        11       100       100         0
        12       100       100         0
        13       100       100         0
        14       100       100         0
        15   70.8246   70.8246         0
        16   57.9914       100   0.46459
        17       100       100         0
        18   57.9914       100   0.06637
        19       100       100         0
        20       100       100         0
        21       100       100         0
        22       100       100         0
        23       100       100         0
        24       100       100         0
Class 3's a bounds are:56.9096------>57.9914
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2       100       100         0
         3       100       100         0
         4       100       100         0
         5       100       100         0
         6       100       100         0
         7       100       100         0
         8       100       100         0
         9   70.8246   70.8246         0
        10   70.8246   70.8246         0
        11       100       100         0
        12       100       100         0
        13       100       100         0
        14       100       100         0
        15   56.9096   70.8246  0.231065
        16   57.9914   57.9914         0
        17       100       100         0
        18   57.9914   57.9914         0
        19       100       100         0
        20       100       100         0
        21       100       100         0
        22   56.9096       100  0.811356
        23       100       100         0
        24       100       100         0
Class 4's a bounds are:50.2612------>56.9096
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2       100       100         0
         3   50.2612       100 0.0747381
         4       100       100         0
         5       100       100         0
         6       100       100         0
         7       100       100         0
         8       100       100         0
         9   70.8246   70.8246         0
        10   70.8246   70.8246         0
        11       100       100         0
        12   50.2612       100  0.523167
        13   50.2612       100  0.448429
        14       100       100         0
        15   56.9096   56.9096         0
        16   57.9914   57.9914         0
        17       100       100         0
        18   57.9914   57.9914         0
        19       100       100         0
        20       100       100         0
        21       100       100         0
        22   56.9096   56.9096         0
        23       100       100         0
        24       100       100         0
Class 5's a bounds are:10.2573------>50.2612
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2       100       100         0
         3   50.2612   50.2612         0
         4       100       100         0
         5       100       100         0
         6       100       100         0
         7       100       100         0
         8       100       100         0
         9   70.8246   70.8246         0
        10   70.8246   70.8246         0
        11       100       100         0
        12   50.2612   50.2612         0
        13   50.2612   50.2612         0
        14       100       100         0
        15   56.9096   56.9096         0
