      76     0    99
       1       2        0.011139
       1       3        0.053987
       2       1        0.011237
       2       6        3.913955
       3       1        0.053668
       3       4        1.096024
       3      12        0.135974
       4       3        1.088837
       4       5        0.651218
       4      11        4.171544
       5       4        0.662849
       5       6        4.432770
       5       9       10.555522
       6       2        3.953853
       6       5        4.479041
       6       8       22.268110
       7       8        6.310164
       7      18        0.121628
       8       6       22.522058
       8       7        6.233112
       8       9       12.752713
       8      16        7.943986
       9       5       10.732300
       9       8       12.608507
       9      10        4.627082
      10       9        4.748223
      10      11       11.970906
      10      15       13.479378
      10      16       24.482584
      10      17       16.144255
      11       4        4.120162
      11      10       11.752853
      11      12        8.097877
      11      14       14.819534
      12       3        0.136446
      12      11        8.082410
      12      13        0.097737
      13      12        0.100499
      13      24       19.238710
      14      11       14.959156
      14      15       11.483035
      14      23        5.902809
      15      10       13.666239
      15      14       11.795830
      15      19        1.994279
      15      22        6.284446
      16       8        8.016761
      16      10       24.714588
      16      17        8.517368
      16      18        0.591804
      17      10       16.221260
      17      16        8.476998
      17      19        4.419366
      18       7        0.122846
      18      16        0.599022
      18      20        0.651291
      19      15        2.001026
      19      17        4.413933
      19      20        8.993038
      20      18        0.650877
      20      19        9.048627
      20      21        3.677252
      20      22        4.770353
      21      20        3.573036
      21      22        2.968413
      21      24       12.605960
      22      15        6.307297
      22      20        4.649048
      22      21        2.984349
      22      23       12.177659
      23      14        5.776648
      23      22       12.087182
      23      24        2.691125
      24      13       19.296036
      24      21       12.322327
      24      23        2.617985
